"","x"
"2499",3
"2500",4
"2501",4
"2502",3
"2503",2
"2504",0
"2505",1
"2506",0
"2507",1
"2508",0
"2509",1
"2510",3
"2511",1
"2512",3
"2513",1
"2514",0
"2515",1
"2516",2
"2517",4
"2518",2
"2519",3
"2520",0
"2521",3
"2522",3
"2523",0
"2524",4
"2525",1
"2526",1
"2527",4
"2528",0
"2529",2
"2530",1
"2531",1
"2532",2
"2533",1
"2534",2
"2535",4
"2536",1
"2537",4
"2538",0
"2539",1
"2540",3
"2541",0
"2542",1
"2543",0
"2544",4
"2545",4
"2546",0
"2547",4
"2548",0
"2549",3
"2550",4
"2551",4
"2552",4
"2553",3
"2554",0
"2555",1
"2556",3
"2557",4
"2558",2
"2559",2
"2560",3
"2561",0
"2562",0
"2563",2
"2564",2
"2565",2
"2566",3
"2567",3
"2568",1
"2569",1
"2570",3
"2571",3
"2572",4
"2573",2
"2574",4
"2575",2
"2576",1
"2577",2
"2578",0
"2579",2
"2580",2
"2581",4
"2582",3
"2583",1
"2584",2
"2585",1
"2586",3
"2587",3
"2588",4
"2589",0
"2590",4
"2591",2
"2592",3
"2593",4
"2594",2
"2595",1
"2596",0
"2597",0
"2598",4
"2599",0
"2600",2
"2601",2
"2602",1
"2603",3
"2604",4
"2605",2
"2606",4
"2607",2
"2608",2
"2609",4
"2610",2
"2611",1
"2612",4
"2613",4
"2614",4
"2615",3
"2616",3
"2617",0
"2618",4
"2619",4
"2620",4
"2621",1
"2622",2
"2623",4
"2624",1
"2625",2
"2626",1
"2627",0
"2628",0
"2629",3
"2630",3
"2631",1
"2632",2
"2633",0
"2634",2
"2635",1
"2636",1
"2637",1
"2638",2
"2639",1
"2640",4
"2641",0
"2642",4
"2643",0
"2644",4
"2645",1
"2646",1
"2647",4
"2648",2
"2649",3
"2650",1
"2651",3
"2652",4
"2653",0
"2654",4
"2655",1
"2656",0
"2657",0
"2658",4
"2659",1
"2660",3
"2661",3
"2662",4
"2663",0
"2664",1
"2665",4
"2666",2
"2667",1
"2668",2
"2669",2
"2670",2
"2671",1
"2672",4
"2673",3
"2674",0
"2675",3
"2676",2
"2677",1
"2678",1
"2679",0
"2680",0
"2681",1
"2682",0
"2683",1
"2684",3
"2685",3
"2686",0
"2687",1
"2688",0
"2689",2
"2690",2
"2691",4
"2692",2
"2693",4
"2694",2
"2695",4
"2696",1
"2697",1
"2698",3
"2699",0
"2700",3
"2701",3
"2702",2
"2703",3
"2704",3
"2705",4
"2706",0
"2707",0
"2708",1
"2709",0
"2710",3
"2711",4
"2712",0
"2713",1
"2714",4
"2715",4
"2716",2
"2717",0
"2718",1
"2719",1
"2720",2
"2721",4
"2722",1
"2723",1
"2724",0
"2725",4
"2726",4
"2727",0
"2728",0
"2729",1
"2730",0
"2731",3
"2732",4
"2733",1
"2734",1
"2735",4
"2736",0
"2737",1
"2738",3
"2739",3
"2740",1
"2741",2
"2742",0
"2743",3
"2744",4
"2745",1
"2746",2
"2747",3
"2748",1
"2749",1
"2750",4
"2751",4
"2752",1
"2753",4
"2754",0
"2755",0
"2756",2
"2757",0
"2758",2
"2759",3
"2760",1
"2761",3
"2762",0
"2763",0
"2764",3
"2765",3
"2766",3
"2767",4
"2768",1
"2769",2
"2770",4
"2771",2
"2772",1
"2773",0
"2774",0
"2775",3
"2776",3
"2777",0
"2778",4
"2779",4
"2780",0
"2781",3
"2782",3
"2783",0
"2784",4
"2785",2
"2786",4
"2787",2
"2788",4
"2789",3
"2790",4
"2791",3
"2792",3
"2793",1
"2794",1
"2795",1
"2796",3
"2797",2
"2798",1
"2799",2
"2800",1
"2801",3
"2802",1
"2803",2
"2804",0
"2805",1
"2806",1
"2807",0
"2808",1
"2809",2
"2810",4
"2811",4
"2812",2
"2813",3
"2814",0
"2815",3
"2816",0
"2817",2
"2818",4
"2819",2
"2820",1
"2821",2
"2822",2
"2823",4
"2824",0
"2825",4
"2826",0
"2827",2
"2828",0
"2829",3
"2830",3
"2831",1
"2832",0
"2833",2
"2834",4
"2835",0
"2836",2
"2837",1
"2838",0
"2839",3
"2840",2
"2841",2
"2842",3
"2843",4
"2844",4
"2845",1
"2846",1
"2847",0
"2848",0
"2849",1
"2850",4
"2851",3
"2852",2
"2853",0
"2854",3
"2855",4
"2856",2
"2857",1
"2858",3
"2859",1
"2860",2
"2861",4
"2862",4
"2863",1
"2864",2
"2865",3
"2866",3
"2867",1
"2868",0
"2869",1
"2870",1
"2871",0
"2872",2
"2873",0
"2874",2
"2875",0
"2876",3
"2877",3
"2878",2
"2879",0
"2880",3
"2881",1
"2882",2
"2883",1
"2884",3
"2885",4
"2886",4
"2887",3
"2888",4
"2889",3
"2890",3
"2891",1
"2892",4
"2893",1
"2894",2
"2895",4
"2896",4
"2897",0
"2898",2
"2899",1
"2900",4
"2901",0
"2902",0
"2903",3
"2904",3
"2905",2
"2906",0
"2907",1
"2908",3
"2909",4
"2910",4
"2911",0
"2912",4
"2913",1
"2914",1
"2915",1
"2916",0
"2917",4
"2918",1
"2919",4
"2920",4
"2921",0
"2922",0
"2923",0
"2924",2
"2925",1
"2926",2
"2927",3
"2928",1
"2929",4
"2930",4
"2931",3
"2932",2
"2933",0
"2934",3
"2935",4
"2936",4
"2937",4
"2938",3
"2939",4
"2940",2
"2941",1
"2942",3
"2943",3
"2944",4
"2945",2
"2946",3
"2947",4
"2948",4
"2949",3
"2950",1
"2951",2
"2952",4
"2953",2
"2954",3
"2955",4
"2956",2
"2957",4
"2958",3
"2959",0
"2960",2
"2961",3
"2962",0
"2963",3
"2964",1
"2965",1
"2966",4
"2967",0
"2968",1
"2969",1
"2970",1
"2971",1
"2972",0
"2973",0
"2974",0
"2975",2
"2976",2
"2977",0
"2978",3
"2979",4
"2980",3
"2981",0
"2982",3
"2983",0
"2984",0
"2985",1
"2986",3
"2987",0
"2988",1
"2989",1
"2990",0
"2991",4
"2992",2
"2993",1
"2994",4
"2995",0
"2996",4
"2997",0
"2998",0
"2999",0
"3000",3
"3001",1
"3002",0
"3003",3
"3004",4
"3005",4
"3006",3
"3007",1
"3008",3
"3009",3
"3010",1
"3011",0
"3012",1
"3013",1
"3014",4
"3015",1
"3016",3
"3017",0
"3018",3
"3019",3
"3020",0
"3021",2
"3022",2
"3023",3
"3024",4
"3025",4
"3026",2
"3027",1
